"","VIP","Coefficient"
"NaturHazard",0.302121113885173,-2988.56677269616
"discount_rate",4.81570355873503,-47636.6959518763
"BadMaintenance",0.281322128552998,-2782.82426211758
"BadDesign",0.407751218017048,-4033.45441840019
"NonCompliance",0.28119199231802,-2781.53696106543
"dredge_NonPopInvolv",0.176497388145472,-1745.90323362733
"dredge_NonDonorsInvolv",0.142856183213101,1413.12613651733
"check_NonPopInvolv",0.0198238926970105,196.09694356647
"check_NonInstInvolv",0.100582369365668,994.955708787484
"check_NonDonorsInvolv",0.0844670521268488,-835.543806017602
"buffer_NonPopInvolv",0.364052881524851,-3601.19268474223
"buffer_NonInstInvolv",0.392883347329669,-3886.38219380243
"buffer_NonDonorsInvolv",0.0217894365167857,215.540003584748
"current_irrig_area",0.511232528793774,5057.08630895356
"TLU_no_buffer",0.102772471113094,1016.62008446455
"change_TLU_buffer_perc",0.619953460848651,6132.54826809109
"profit_per_TLU",0.111159785822906,-1099.58697721676
"var_CV",0.00796393760336873,-78.7788678360931
"pipe_blocked_area_lost_perc",1.14224021222706,-11298.9823875621
"dredging_study_cost",0.22125047230891,-2188.5984778841
"dredging_supervision_cost",0.109114580166294,-1079.355906339
"dredging_admin_cost",0.0762061041736593,753.826926828358
"dredging_transport_cost",0.0687031277376058,-679.607863536959
"dredging_communication_cost",0.0286960299416247,-283.859676303287
"dredging_culvert_feasibility_cost",0.0305495216682994,-302.194322685905
"dredging_culvert_supervision_cost",0.12832701241755,-1269.40431411298
"check_location_cost",0.0137765076287664,136.276516439612
"check_feasibility_cost",0.422592515816468,-4180.26378533471
"check_topobatymetry_cost",0.0837514817669206,-828.465420221566
"check_supervision_cost",0.015652511009567,154.833846965862
"check_training_cost",0.269299013260089,-2663.89221395117
"check_communication_cost",0.111292417920567,1100.89896721629
"check_tech_devices_cost",0.145728083765883,1441.53483148129
"check_material_cost",0.312319595973884,-3089.4496415242
"check_rocks_cost",0.0135593733821024,-134.128635457546
"check_transport_cost",0.0155920189603132,-154.235462675247
"buffer_communication_cost",0.244133888039782,-2414.96006850458
"buffer_zoning_cost",0.71431311615443,-7065.94920423716
"buffer_adaptation_cost",2.41129950484703,-23852.4527019434
"buffer_tech_devices_cost",0.0793764360199814,-785.187689048835
"buffer_nursery_cost",0.255584704309314,-2528.23096368729
"buffer_wells_cost",1.28160057338676,-12677.5280291987
"buffer_training_cost",0.799767553069061,-7911.26017061865
"current_annual_fish_value_USD",0.17584148061509,1739.41502952252
"Hazard_reduction_irrigated_area",0.12321338254242,-1218.82054611295
"BadMaint_reduction_irrigated_area",0.438449612679177,-4337.12138520881
"BadDesign_reduction_irrigated_area",0.394489150175856,-3902.26671431112
"Hazard_reduction_fish_perc",0.135881356157178,-1344.1315001724
"maintenance_check_dams",0.370848070490832,-3668.41035019027
"maintenance_buffer_strips",2.46068913186705,-24341.012393551
"scheme2_area_no_dredging_ha",1.06016762833654,-10487.1245401898
"dredging_bump_scheme2_area_perc",0.243297139837247,-2406.68299762048
"scheme2_time_until_dredging_benefits_gone_baseline",0.0808547102538148,-799.810702976444
"check_dams_added_scheme2_area_benefit_time",0.206286050499327,-2040.57117447052
"scheme2_vegetable_yield_t_ha",0.31545310050463,-3120.44610980228
"scheme2_vegetable_profit_USD_t",0.394393949990576,-3901.324998895
"scheme2_rice_yield_t_ha",0.122700256708896,-1213.74473132939
"scheme2_rice_profit_USD_t",0.554386984163561,-5483.96799806636
"buffer_vegetable_area_ha",0.880973205827001,8714.54237908992
"buffer_fruit_area_ha",1.05787090337355,10464.405453059
"buffer_rainfed_crop_area_ha",0.347250309608867,3434.98249347757
"buffer_vegetable_yield_t_ha",1.81319422058449,17936.0254912308
"buffer_fruit_yield_t_ha",1.7027998356844,16844.009821217
"buffer_rainfed_crop_yield_t_ha",0.887004662801706,8774.20524632137
"buffer_vegetable_profit_USD_t",2.03207392750371,20101.1724778293
"buffer_fruit_profit_USD_t",1.16911132959472,11564.7901210154
"buffer_rainfed_crop_profit_USD_t",0.904992709849993,8952.14209761551
"proportion_irrigation_scheme_rice",0.777049768142588,-7686.53699153518
"irrigation_scheme_rice_yield_t_ha",0.36118150968279,3572.78921975799
"irrigation_scheme_rice_profit_USD_t",0.490580710593059,4852.79956819343
"irrigation_scheme_vegetable_yield_t_ha",3.25170371805171,32165.6886586066
"irrigation_scheme_vegetable_profit_USD_t",5.20131433683328,51451.1382587981
"baseline_time_until_irrig_area_declines",0.806022070272586,-7973.12953834783
"dredging_delay_of_irrig_area_decline",0.455794454103273,4508.69567901152
"check_dam_delay_of_irrig_area_decline",0.439130041138741,4343.85214910446
"buffer_strip_delay_of_irrig_area_decline",0.834147033106457,8251.34024771443
"baseline_start_losses_to_half_irrig_area_lost",2.0833960590854,-20608.8484067857
"dredging_delay_of_irrig_area_halved",0.136832252987984,1353.53772351199
"check_dam_delay_of_irrig_area_halved",0.0663366304300084,-656.198591903436
"buffer_strip_delay_of_irrig_area_halved",0.0586825190643541,580.484509535117
"current_risk_of_pipe_blockage",0.193969279463003,-1918.7342985478
"baseline_time_until_pipes_blocked_every_second_year",0.0612597888938149,-605.97873229085
"dredging_delay_of_pipes_blocked_every_second_year",0.0424186349654207,-419.60299090174
"check_dam_delay_of_pipes_blocked_every_second_year",0.225004619243685,2225.73430942136
"buffer_strip_delay_of_pipes_blocked_every_second_year",0.0889412988910033,879.802828633538
"current_chance_of_blocked_pipe_cleared",0.00981894417577572,97.128498996051
"baseline_time_until_chance_cleared_50percent",0.210096850882943,2078.26741905732
"dredging_delay_of_time_until_chance_cleared_50percent",0.187615578817317,1855.88381322696
"check_dam_delay_of_time_until_chance_cleared_50percent",0.0658336721857025,651.223354397998
"buffer_strip_delay_of_time_until_chance_cleared_50percent",0.103874969484393,-1027.52594257239
"baseline_time_until_irrig_area2_declines",0.128186180697221,-1268.01121386088
"dredging_delay_of_irrig_area2_decline",0.0345253646660182,-341.52316046106
"check_dam_delay_of_irrig_area2_decline",0.0109857063420538,108.670051312394
"baseline_start_losses_to_half_irrig_area2_lost",0.183856382379342,-1818.69803225953
"dredging_delay_of_irrig_area2_halved",0.133008950475417,1315.71780849815
"check_dam_delay_of_irrig_area2_halved",0.0470122319570513,-465.042619929329
"time_to_start_fish_decline_baseline",0.159597921556905,1578.73456516388
"dredging_delay_start_fish_decline",0.199173201045314,1970.21122754695
"check_dams_delay_start_fish_decline",0.0763618579562506,-755.367635365369
"buffer_strips_delay_start_fish_decline",0.0419137009323106,414.608208993417
"time_to_halve_fish_population_baseline",0.0507503737241877,502.020129158087
"dredging_delay_in_time_to_halve_fish_population",0.0277939804596059,-274.936648466465
"check_dams_delay_in_time_to_halve_fish_population",0.20099521576233,-1988.23450494261
"buffer_strips_delay_in_time_to_halve_fish_population",0.162662031968267,1609.04459032402
