"","VIP","Coefficient"
"NaturHazard",0.377666394829968,-1923.7018682493
"discount_rate",4.17902114688385,-21286.4869571812
"BadMaintenance",0.433013035962572,-2205.61849733156
"BadDesign",0.482232104788453,-2456.32339443119
"NonCompliance",0.0785830787855792,-400.274998098944
"dredge_NonPopInvolv",0.450237797956921,-2293.35547176794
"dredge_NonDonorsInvolv",0.0161453745151303,-82.2389482980715
"check_NonPopInvolv",0.259858524064159,-1323.6293593127
"check_NonInstInvolv",0.188579545332802,-960.558918231633
"check_NonDonorsInvolv",0.137958412712821,-702.712393555284
"buffer_NonPopInvolv",0.129867775328659,661.501487675645
"buffer_NonInstInvolv",0.0107681283395073,-54.8491178665353
"buffer_NonDonorsInvolv",0.0572159185090871,291.438080899637
"current_irrig_area",0.836022479983755,4258.4090844705
"TLU_no_buffer",0.145950611831313,-743.421888988639
"change_TLU_buffer_perc",0.114888881161697,-585.204186439019
"profit_per_TLU",0.156893299325496,-799.16015075722
"var_CV",0.0680566657902969,346.657094514737
"pipe_blocked_area_lost_perc",1.84869528640347,-9416.61377597325
"dredging_study_cost",0.0334276317995653,-170.268783837451
"dredging_supervision_cost",0.156711236244766,-798.232784453691
"dredging_admin_cost",0.0492710573929841,250.969708862169
"dredging_transport_cost",0.0245100296074867,124.845605519113
"dredging_communication_cost",0.0547597016732858,-278.926962673236
"dredging_culvert_feasibility_cost",0.0602432900973306,-306.858463702853
"dredging_culvert_supervision_cost",0.0403082911824842,-205.316480669645
"check_location_cost",0.00828387270134455,-42.1951796878576
"check_feasibility_cost",0.300755467477813,-1531.94423065822
"check_topobatymetry_cost",0.30442453831084,-1550.63320725994
"check_supervision_cost",0.0157043890509611,-79.9927210114867
"check_training_cost",0.237556220027094,-1210.0291435411
"check_communication_cost",0.230355123247116,-1173.34924954279
"check_tech_devices_cost",0.0883854345915837,450.204805027476
"check_material_cost",0.276513929155998,-1408.46622679742
"check_rocks_cost",0.196361943537105,-1000.19976044058
"check_transport_cost",0.076954328719843,-391.97870913265
"buffer_communication_cost",0.0623105847540159,317.388546992572
"buffer_zoning_cost",0.227369931909095,1158.14371833153
"buffer_adaptation_cost",0.078831656534267,401.541167093861
"buffer_tech_devices_cost",0.114683387337823,584.157472041569
"buffer_nursery_cost",0.00616079464374732,-31.3809550659458
"buffer_wells_cost",0.0159562075903735,-81.2753974724028
"buffer_training_cost",0.00631661491642428,32.1746495904342
"current_annual_fish_value_USD",0.3167167466192,1613.24546085573
"Hazard_reduction_irrigated_area",0.0496427737224187,-252.863103157189
