"","VIP","Coefficient"
"NaturHazard",0.248513885684326,-2185.4334279683
"discount_rate",4.66402962352437,-41015.519998879
"BadMaintenance",0.180061882356719,-1583.46587242666
"BadDesign",0.41501200213462,-3649.61941653893
"NonCompliance",0.313367327346564,-2755.75519867002
"dredge_NonPopInvolv",0.217353385483391,-1911.40769864613
"dredge_NonDonorsInvolv",0.130092947556819,1144.03859386249
"check_NonPopInvolv",0.0563532923165335,495.571378096196
"check_NonInstInvolv",0.157002645597002,1380.68272934654
"check_NonDonorsInvolv",0.0752126443654802,-661.420695868101
"buffer_NonPopInvolv",0.719007179266691,-6322.95583883236
"buffer_NonInstInvolv",0.592685660017268,-5212.08322067169
"buffer_NonDonorsInvolv",0.111212460666973,-978.003416102643
"current_irrig_area",0.39041069709434,3433.27531062057
"TLU_no_buffer",0.121436495633908,1067.91367493558
"change_TLU_buffer_perc",0.658982343986198,5795.09687767592
"profit_per_TLU",0.0560855173283476,-493.216562353229
"var_CV",0.144634303907382,-1271.91541719978
"pipe_blocked_area_lost_perc",1.20056371599798,-10557.7685131069
"dredging_study_cost",0.284982619319358,-2506.1398116064
"dredging_supervision_cost",0.149667563689703,-1316.177950658
"dredging_admin_cost",0.0918848931647328,808.036607268617
"dredging_transport_cost",0.122733102284442,-1079.31604591055
"dredging_communication_cost",0.0519087628498489,456.486144523289
"dredging_culvert_feasibility_cost",0.0376221678050418,-330.849694484324
"dredging_culvert_supervision_cost",0.122622175576914,-1078.34055541022
"check_location_cost",0.08335133948704,732.992456656119
"check_feasibility_cost",0.26342366609253,-2316.55017590386
"check_topobatymetry_cost",0.0240956086214938,-211.897006896204
"check_supervision_cost",0.0706476630991438,621.276208045907
"check_training_cost",0.191191413091482,-1681.33906948514
"check_communication_cost",0.293957138228803,2585.0618145787
"check_tech_devices_cost",0.135299089867647,1189.82145788843
"check_material_cost",0.165036724923386,-1451.33449785629
"check_rocks_cost",0.134054139816293,1178.87335552832
"check_transport_cost",0.0524442950635784,-461.19561980438
"buffer_communication_cost",0.239930570314073,-2109.95167256744
"buffer_zoning_cost",1.00168940315223,-8808.86595154384
"buffer_adaptation_cost",2.72371890397748,-23952.4094388139
"buffer_tech_devices_cost",0.0915241131079655,-804.863904085323
"buffer_nursery_cost",0.213856002769557,-1880.65168244943
"buffer_wells_cost",1.37711743223864,-12110.3835399972
"buffer_training_cost",0.898259906027371,-7899.30598940251
"current_annual_fish_value_USD",0.150679431523886,1325.07632582694
"Hazard_reduction_irrigated_area",0.123882708478318,-1089.42569349897
"BadMaint_reduction_irrigated_area",0.438534323194495,-3856.47492727266
"BadDesign_reduction_irrigated_area",0.309196027150697,-2719.0727458524
"Hazard_reduction_fish_perc",0.143959091513838,-1265.97759311496
"maintenance_check_dams",0.221014283300052,-1943.60166818178
"maintenance_buffer_strips",2.71616512476747,-23885.9814340062
"scheme2_area_no_dredging_ha",1.24132575702,-10916.230281939
"dredging_bump_scheme2_area_perc",0.21000633178499,-1846.797639915
"scheme2_time_until_dredging_benefits_gone_baseline",0.0806817017308199,-709.515637334961
"check_dams_added_scheme2_area_benefit_time",0.26984490583115,-2373.01861803994
"scheme2_vegetable_yield_t_ha",0.391836248310339,-3445.81162130658
"scheme2_vegetable_profit_USD_t",0.385110604727899,-3386.66624892953
"scheme2_rice_yield_t_ha",0.17309403672924,-1522.19057300714
"scheme2_rice_profit_USD_t",0.615738436838813,-5414.80955499528
"buffer_vegetable_area_ha",1.00576365143665,8844.69492894717
"buffer_fruit_area_ha",1.26552773112422,11129.0626678821
"buffer_rainfed_crop_area_ha",0.389715460923365,3427.16139725031
"buffer_vegetable_yield_t_ha",2.02909400787726,17843.8716254994
"buffer_fruit_yield_t_ha",1.9116833049664,16811.3608093087
"buffer_rainfed_crop_yield_t_ha",0.971896177984493,8546.86405161267
"buffer_vegetable_profit_USD_t",2.30224830423575,20245.9930546951
"buffer_fruit_profit_USD_t",1.37663264694883,12106.1203336383
"buffer_rainfed_crop_profit_USD_t",1.02069890826183,8976.03571673117
"proportion_irrigation_scheme_rice",0.709025577823163,-6235.17754266483
"irrigation_scheme_rice_yield_t_ha",0.335431594943231,2949.78857365272
"irrigation_scheme_rice_profit_USD_t",0.46177058770641,4060.8148540563
"irrigation_scheme_vegetable_yield_t_ha",2.92525028656992,25724.6782965053
"irrigation_scheme_vegetable_profit_USD_t",4.52397646734271,39783.8912374959
"baseline_time_until_irrig_area_declines",0.769618626731938,-6768.03337976669
"dredging_delay_of_irrig_area_decline",0.73381119314492,6453.1424749171
"check_dam_delay_of_irrig_area_decline",0.169742159810377,1492.71413612818
"buffer_strip_delay_of_irrig_area_decline",1.30490380669761,11475.3362436355
"baseline_start_losses_to_half_irrig_area_lost",1.95920830141279,-17229.2960712037
"dredging_delay_of_irrig_area_halved",0.155533304192088,1367.7613273309
"check_dam_delay_of_irrig_area_halved",0.172074743784211,-1513.22690134419
"buffer_strip_delay_of_irrig_area_halved",0.221590985434357,1948.6731921283
"current_risk_of_pipe_blockage",0.135698504173294,-1193.33391101662
"baseline_time_until_pipes_blocked_every_second_year",0.101557947444481,-893.101536800827
"dredging_delay_of_pipes_blocked_every_second_year",0.105534286521255,-928.069499719232
"check_dam_delay_of_pipes_blocked_every_second_year",0.104943091684268,922.87052681019
"buffer_strip_delay_of_pipes_blocked_every_second_year",0.163518246198413,1437.98098178987
"current_chance_of_blocked_pipe_cleared",0.0732778168054918,-644.405804264321
"baseline_time_until_chance_cleared_50percent",0.241427515370552,2123.11582135233
"dredging_delay_of_time_until_chance_cleared_50percent",0.241834929451668,2126.69862458059
"check_dam_delay_of_time_until_chance_cleared_50percent",0.160871348049208,1414.70413478484
"buffer_strip_delay_of_time_until_chance_cleared_50percent",0.163136388855734,-1434.62292475774
"baseline_time_until_irrig_area2_declines",0.0882417426284613,-775.998707482196
"dredging_delay_of_irrig_area2_decline",0.0638149102156931,-561.18891547704
"check_dam_delay_of_irrig_area2_decline",0.00202135521073433,-17.7758165712644
"baseline_start_losses_to_half_irrig_area2_lost",0.246370525138318,-2166.58469534101
"dredging_delay_of_irrig_area2_halved",0.232291136120527,2042.77041703572
"check_dam_delay_of_irrig_area2_halved",0.0756241639610763,-665.039603028975
"time_to_start_fish_decline_baseline",0.301028635655379,2647.24862888598
"dredging_delay_start_fish_decline",0.261314739975426,2298.00425996543
"check_dams_delay_start_fish_decline",0.214573822964383,-1886.96419993603
"buffer_strips_delay_start_fish_decline",0.000929438700286884,-8.17349259684641
"time_to_halve_fish_population_baseline",0.0570467432168164,501.669591779346
"dredging_delay_in_time_to_halve_fish_population",0.0319634580453151,281.086948092816
"check_dams_delay_in_time_to_halve_fish_population",0.210923391397261,-1854.86227069641
"buffer_strips_delay_in_time_to_halve_fish_population",0.147634290870039,1298.29733052268
