"","VIP","Coefficient"
"NaturHazard",0.203347120838384,-498.699701947368
"discount_rate",3.81016115814736,-9344.24950845361
"BadMaintenance",0.421488894011916,-1033.68262580382
"BadDesign",0.446290319817211,-1094.50701124866
"NonCompliance",0.134791088092582,-330.569103608591
"dredge_NonPopInvolv",0.920021819493103,-2256.31228647168
"dredge_NonDonorsInvolv",0.192198822056728,-471.358998736475
"check_NonPopInvolv",0.13972065865587,342.658654522831
"check_NonInstInvolv",0.0192066344038611,47.1034102333334
"check_NonDonorsInvolv",0.172514312735392,423.083621681432
"buffer_NonPopInvolv",0.237686553309815,-582.915621346371
"buffer_NonInstInvolv",0.0593158255230173,-145.469404175145
"buffer_NonDonorsInvolv",0.00335023805347767,-8.21630870323428
"current_irrig_area",0.707871139246374,1736.02224955956
"TLU_no_buffer",0.154473229473835,-378.838673396686
"change_TLU_buffer_perc",0.0433553419165588,-106.327033313633
"profit_per_TLU",0.206876597673967,-507.355585732094
"var_CV",0.0650293064948737,159.481460239668
"pipe_blocked_area_lost_perc",1.80846921931123,-4435.18972352845
"dredging_study_cost",0.0928174172515554,-227.630556695533
"dredging_supervision_cost",0.462262755763377,-1133.67869468772
"dredging_admin_cost",0.255042543043338,625.480408452398
"dredging_transport_cost",0.0990464267505893,242.906923372318
"dredging_communication_cost",0.26547407768672,-651.063279732109
"dredging_culvert_feasibility_cost",0.153304411084764,375.972198671807
"dredging_culvert_supervision_cost",0.143136098368327,-351.034867373052
"check_location_cost",0.119337667656696,292.670282451594
"check_feasibility_cost",0.0891616838909778,218.665034440767
"check_topobatymetry_cost",0.174751055209698,-428.569132372068
"check_supervision_cost",0.116433339118311,-285.547546853086
"check_training_cost",0.0811408900925893,-198.994397059003
"check_communication_cost",0.19410098026723,-476.02395651273
"check_tech_devices_cost",0.18819580103412,461.54176905241
"check_material_cost",0.138212503133221,338.959970683424
"check_rocks_cost",0.272672126729266,-668.716172467056
"check_transport_cost",0.032430200792538,79.5336142584775
"buffer_communication_cost",0.0784167184626595,192.313488205717
"buffer_zoning_cost",0.130056273697996,318.957183471137
"buffer_adaptation_cost",0.00412954128160493,-10.1275149499289
"buffer_tech_devices_cost",0.20248263054572,496.579578242097
"buffer_nursery_cost",0.0755537208090393,185.292114750072
"buffer_wells_cost",0.0309163624978376,-75.8209936752548
"buffer_training_cost",0.033948915644864,-83.2581943807598
"current_annual_fish_value_USD",0.238978539923313,586.084160622535
"Hazard_reduction_irrigated_area",0.101782145760569,-249.616151657743
"BadMaint_reduction_irrigated_area",0.557886899004359,-1368.19262110398
"BadDesign_reduction_irrigated_area",0.513402268355468,-1259.09605777731
"Hazard_reduction_fish_perc",0.152638620639462,-374.339377438525
"maintenance_check_dams",0.0597979392546996,-146.651766498759
"maintenance_buffer_strips",0.155128316013691,-380.445243781499
"scheme2_area_no_dredging_ha",0.738334836142237,1810.73310112975
"dredging_bump_scheme2_area_perc",0.0473479890929329,-116.118821604657
"scheme2_time_until_dredging_benefits_gone_baseline",0.00680395932972733,16.6864053732722
"check_dams_added_scheme2_area_benefit_time",0.0613750491488224,-150.519557844388
"scheme2_vegetable_yield_t_ha",0.387684812007286,950.779629435799
"scheme2_vegetable_profit_USD_t",0.3956998850911,970.436237021411
"scheme2_rice_yield_t_ha",0.0282093256663421,-69.1821071473247
"scheme2_rice_profit_USD_t",0.0693824930910734,-170.157455302177
