"","VIP","Coefficient"
"NaturHazard",0.296059870639213,-2699.68018593292
"discount_rate",4.669635873981,-42580.9935581263
"BadMaintenance",0.238245419795531,-2172.48773980271
"BadDesign",0.418377509956176,-3815.05764840742
"NonCompliance",0.294789571993299,-2688.09671777431
"dredge_NonPopInvolv",0.105352182472244,-960.67460595396
"dredge_NonDonorsInvolv",0.091122772205913,830.920928528566
"check_NonPopInvolv",0.0724306510754416,-660.473143963778
"check_NonInstInvolv",0.053385991618789,486.810669302968
"check_NonDonorsInvolv",0.160857648767032,-1466.81212213769
"buffer_NonPopInvolv",0.440945503688089,-4020.8483399414
"buffer_NonInstInvolv",0.502333764817648,-4580.62927837972
"buffer_NonDonorsInvolv",0.0253692103894078,231.334136818934
"current_irrig_area",0.431214128052736,3932.11087637394
"TLU_no_buffer",0.149372440530623,1362.081990897
"change_TLU_buffer_perc",0.610896136015764,5570.5766218973
"profit_per_TLU",0.107577176945077,-980.963655865212
"var_CV",0.0305028644857269,-278.146371842016
"pipe_blocked_area_lost_perc",1.23320976037447,-11245.2658578615
"dredging_study_cost",0.236768914414188,-2159.02393495192
"dredging_supervision_cost",0.0467828545020635,-426.598664209087
"dredging_admin_cost",0.0800112808377789,729.598608087266
"dredging_transport_cost",0.128853937597525,-1174.97998448899
"dredging_communication_cost",0.0281124080876399,256.3485248075
"dredging_culvert_feasibility_cost",0.0682484251128865,-622.336693590322
"dredging_culvert_supervision_cost",0.0617359248995172,-562.95117893426
"check_location_cost",0.0229240557105804,209.037512748542
"check_feasibility_cost",0.459786718567358,-4192.65566519168
"check_topobatymetry_cost",0.0630192764912902,-574.653672948104
"check_supervision_cost",0.0483723627086534,441.092907557379
"check_training_cost",0.255336708160966,-2328.33801580468
"check_communication_cost",0.159159145366771,1451.32398466899
"check_tech_devices_cost",0.121998710391358,1112.46924631094
"check_material_cost",0.423124465463806,-3858.3436962591
"check_rocks_cost",0.0774968302678882,706.670095798905
"check_transport_cost",0.0803286224757531,-732.492350256243
"buffer_communication_cost",0.30149834710953,-2749.272003753
"buffer_zoning_cost",0.868725305377343,-7921.64263559975
"buffer_adaptation_cost",2.57365416147091,-23468.3718876372
"buffer_tech_devices_cost",0.173239896262861,-1579.72208237523
"buffer_nursery_cost",0.298790247892489,-2724.57766817148
"buffer_wells_cost",1.40563075731528,-12817.5206456343
"buffer_training_cost",0.838530109481447,-7646.30180033386
"current_annual_fish_value_USD",0.192953944267505,1759.48850822606
"Hazard_reduction_irrigated_area",0.175008950584313,-1595.85355230107
"BadMaint_reduction_irrigated_area",0.421470673044377,-3843.26326466688
"BadDesign_reduction_irrigated_area",0.351934312055711,-3209.18227436696
"Hazard_reduction_fish_perc",0.140911529304511,-1284.92950703367
"maintenance_check_dams",0.329442088094509,-3004.08250439637
"maintenance_buffer_strips",2.62210575891462,-23910.1873127172
"scheme2_area_no_dredging_ha",1.17469621567108,-10711.6985868113
"dredging_bump_scheme2_area_perc",0.229504759337169,-2092.78430751903
"scheme2_time_until_dredging_benefits_gone_baseline",0.0825272724506232,-752.541172679029
"check_dams_added_scheme2_area_benefit_time",0.2603181130792,-2373.76193673942
"scheme2_vegetable_yield_t_ha",0.339384426476388,-3094.74367327902
"scheme2_vegetable_profit_USD_t",0.43526047962573,-3969.00832939027
"scheme2_rice_yield_t_ha",0.107226317755795,-977.764277309407
"scheme2_rice_profit_USD_t",0.56958519627603,-5193.87468915365
"buffer_vegetable_area_ha",0.953755601781269,8697.00812471538
"buffer_fruit_area_ha",1.10401252814825,10067.1554737509
"buffer_rainfed_crop_area_ha",0.323201331041806,2947.17493322157
"buffer_vegetable_yield_t_ha",1.94924624857852,17774.5854695868
"buffer_fruit_yield_t_ha",1.8053215018851,16462.1793468835
"buffer_rainfed_crop_yield_t_ha",0.98074080428046,8943.07800356509
"buffer_vegetable_profit_USD_t",2.17975597159703,19876.5337361802
"buffer_fruit_profit_USD_t",1.31812287311045,12019.5627846428
"buffer_rainfed_crop_profit_USD_t",1.03180490490881,9408.71605299472
"proportion_irrigation_scheme_rice",0.641214926517903,-5847.04447889985
"irrigation_scheme_rice_yield_t_ha",0.380746471139434,3471.91161632179
"irrigation_scheme_rice_profit_USD_t",0.368037521789248,3356.02256094038
"irrigation_scheme_vegetable_yield_t_ha",3.08578787259179,28138.3639047121
"irrigation_scheme_vegetable_profit_USD_t",4.84568202096112,44186.3049898511
"baseline_time_until_irrig_area_declines",0.815108360239265,-7432.72597118657
"dredging_delay_of_irrig_area_decline",0.109138208802174,995.198232017375
"check_dam_delay_of_irrig_area_decline",0.573628966117637,5230.74860014431
"buffer_strip_delay_of_irrig_area_decline",1.09053173227534,9944.22818397626
"baseline_start_losses_to_half_irrig_area_lost",2.11750634511484,-19308.8982682836
"dredging_delay_of_irrig_area_halved",0.0632985784757138,577.200543051141
"check_dam_delay_of_irrig_area_halved",0.0750107030379083,-683.999855458687
"buffer_strip_delay_of_irrig_area_halved",0.136786769526773,1247.31707337404
"current_risk_of_pipe_blockage",0.184740370538365,-1684.59141999731
"baseline_time_until_pipes_blocked_every_second_year",0.0823301200760977,-750.743399958374
"dredging_delay_of_pipes_blocked_every_second_year",0.202715005521345,-1848.49666594691
"check_dam_delay_of_pipes_blocked_every_second_year",0.267483959003073,2439.10511281512
"buffer_strip_delay_of_pipes_blocked_every_second_year",0.165120685289008,1505.68545949826
"current_chance_of_blocked_pipe_cleared",0.0556467519099159,-507.42585686595
"baseline_time_until_chance_cleared_50percent",0.210695144970252,1921.26513775865
"dredging_delay_of_time_until_chance_cleared_50percent",0.158606572596828,1446.28524113688
"check_dam_delay_of_time_until_chance_cleared_50percent",0.133078663109836,1213.50397536951
"buffer_strip_delay_of_time_until_chance_cleared_50percent",0.069001331234563,-629.202216209679
"baseline_time_until_irrig_area2_declines",0.0743376600330684,-677.862580384818
"dredging_delay_of_irrig_area2_decline",0.0587713648228757,-535.918254540835
"check_dam_delay_of_irrig_area2_decline",0.0618683479234241,564.158704334547
"baseline_start_losses_to_half_irrig_area2_lost",0.181208093650172,-1652.38165814847
"dredging_delay_of_irrig_area2_halved",0.159024403339055,1450.09531297616
"check_dam_delay_of_irrig_area2_halved",0.0344421337891206,-314.067374112484
"time_to_start_fish_decline_baseline",0.235924874071426,2151.32738700518
"dredging_delay_start_fish_decline",0.251986593349932,2297.78933470034
"check_dams_delay_start_fish_decline",0.173655126671187,-1583.50844255817
"buffer_strips_delay_start_fish_decline",0.111385837337453,1015.69367508073
"time_to_halve_fish_population_baseline",0.0417608546792472,380.80457064908
"dredging_delay_in_time_to_halve_fish_population",0.0198823073850643,-181.300732119474
"check_dams_delay_in_time_to_halve_fish_population",0.207893388724741,-1895.71677213418
"buffer_strips_delay_in_time_to_halve_fish_population",0.12392789984541,1130.06093995307
