"","VIP","Coefficient"
"NaturHazard",0.488342749360835,-1696.01284616262
"discount_rate",3.82298999730179,-13277.2323427785
"BadMaintenance",0.416180548951514,-1445.39374910066
"BadDesign",0.588725241211049,-2044.64092742442
"NonCompliance",0.0734066699111552,254.941135762306
"dredge_NonPopInvolv",0.203170638840409,-705.610995325315
"dredge_NonDonorsInvolv",0.0662284948923996,-230.011356299526
"check_NonPopInvolv",0.577610912468517,-2006.04089834959
"check_NonInstInvolv",0.463283938108923,-1608.98367280347
"check_NonDonorsInvolv",0.367052845673112,-1274.77338876626
"buffer_NonPopInvolv",0.269059519692166,934.44287312041
"buffer_NonInstInvolv",0.061606212240724,-213.958183059836
"buffer_NonDonorsInvolv",0.0608428904773217,211.307168955131
"current_irrig_area",0.765778870791427,2659.54763100723
"TLU_no_buffer",0.237865681212668,-826.106769325287
"change_TLU_buffer_perc",0.111643049611446,-387.735963262711
"profit_per_TLU",0.142900056587427,-496.291451049193
"var_CV",0.0018724268455454,-6.50293259744556
"pipe_blocked_area_lost_perc",2.1698747428206,-7535.96821741344
"dredging_study_cost",0.0885815643874986,307.643496972186
"dredging_supervision_cost",0.0640079463082952,222.299397989306
"dredging_admin_cost",0.0004724481042544,1.64081079325819
"dredging_transport_cost",0.0520414990315929,-180.739963901714
"dredging_communication_cost",0.0485622137542428,-168.656416979857
"dredging_culvert_feasibility_cost",0.0316273487470172,-109.841683602784
"dredging_culvert_supervision_cost",0.0993030908749776,344.879325039741
"check_location_cost",0.033295481459501,-115.635103312976
"check_feasibility_cost",0.53482093270197,-1857.43143201455
"check_topobatymetry_cost",0.292170994170834,-1014.70895193674
"check_supervision_cost",0.0137263167039164,-47.6714551220608
"check_training_cost",0.498225120875219,-1730.33429162461
"check_communication_cost",0.224817960628756,-780.792076412535
"check_tech_devices_cost",0.00947507188718276,32.9068951264439
"check_material_cost",0.551417044474531,-1915.06967646366
"check_rocks_cost",0.173789961329356,-603.571993921227
"check_transport_cost",0.256214595013882,-889.832489755703
"buffer_communication_cost",0.0173527094844392,-60.265905943841
"buffer_zoning_cost",0.228034364310085,791.962636370922
"buffer_adaptation_cost",0.0772196924661779,268.183751209122
"buffer_tech_devices_cost",0.0841816600662313,292.362642980757
"buffer_nursery_cost",0.0234116858091927,81.3087118313595
"buffer_wells_cost",0.15081093765761,-523.76591634443
"buffer_training_cost",0.0473753447350796,164.534424576268
"current_annual_fish_value_USD",0.4664506584827,1619.98168278961
"Hazard_reduction_irrigated_area",0.00635206475788878,-22.0607011021187
"BadMaint_reduction_irrigated_area",0.582035044243004,-2021.40589421052
"BadDesign_reduction_irrigated_area",0.565613589740915,-1964.37423391728
"Hazard_reduction_fish_perc",0.271436731770003,-942.698923255979
