"","VIP","Coefficient"
"NaturHazard",0.245365565909086,-1951.33828864869
"discount_rate",4.3662567494625,-34723.8779888692
"BadMaintenance",0.109038186166221,-867.156672137878
"BadDesign",0.344840130279425,-2742.43758362642
"NonCompliance",0.337413799092186,-2683.37760780563
"dredge_NonPopInvolv",0.0751618823870787,-597.745891545187
"dredge_NonDonorsInvolv",0.141370041732672,1124.28479635582
"check_NonPopInvolv",0.0101542582443583,-80.7545787104648
"check_NonInstInvolv",0.169767038424249,1350.11985483927
"check_NonDonorsInvolv",0.187161029970673,-1488.45043749953
"buffer_NonPopInvolv",0.974177774550303,-7747.42121775524
"buffer_NonInstInvolv",0.813121010349371,-6466.57225483438
"buffer_NonDonorsInvolv",0.178868622232926,-1422.50274567978
"current_irrig_area",0.318785033895127,2535.22714233756
"TLU_no_buffer",0.145644526046689,1158.27882838417
"change_TLU_buffer_perc",0.699230004120071,5560.82217387027
"profit_per_TLU",0.0933947617773171,-742.747964410083
"var_CV",0.105558979972124,-839.487311787777
"pipe_blocked_area_lost_perc",1.16724267911469,-9282.82386920297
"dredging_study_cost",0.327459632031324,-2604.21431019498
"dredging_supervision_cost",0.0336018260658118,-267.227919809363
"dredging_admin_cost",0.0953568280703846,758.351845371718
"dredging_transport_cost",0.169067801931842,-1344.55898106548
"dredging_communication_cost",0.178493433564454,1419.51895285805
"dredging_culvert_feasibility_cost",0.0354050399028212,-281.5684821851
"dredging_culvert_supervision_cost",0.141105703590891,-1122.18257335115
"check_location_cost",0.0782603346494999,622.387199761406
"check_feasibility_cost",0.308570376499139,-2453.99222248085
"check_topobatymetry_cost",0.0514282954415204,408.997903365785
"check_supervision_cost",0.0782888228018758,622.613759760964
"check_training_cost",0.199238709712008,-1584.50156362224
"check_communication_cost",0.375487957065847,2986.17299796886
"check_tech_devices_cost",0.166661740897869,1325.42410774688
"check_material_cost",0.318217087574636,-2530.7103903762
"check_rocks_cost",0.145598162832914,1157.9101119594
"check_transport_cost",0.0890289920932846,-708.027959945273
"buffer_communication_cost",0.315751948345672,-2511.10568118848
"buffer_zoning_cost",1.10016470035593,-8749.3674822313
"buffer_adaptation_cost",3.02001935266677,-24017.5485646679
"buffer_tech_devices_cost",0.155086556052758,-1233.36921282808
"buffer_nursery_cost",0.284372299553678,-2261.55024766504
"buffer_wells_cost",1.59156891464566,-12657.3969361367
"buffer_training_cost",0.983634716963279,-7822.63019728591
"current_annual_fish_value_USD",0.0978559488780639,778.226802568403
"Hazard_reduction_irrigated_area",0.133609835149608,-1062.56958306885
"BadMaint_reduction_irrigated_area",0.308303244739876,-2451.86778245182
"BadDesign_reduction_irrigated_area",0.275514061272343,-2191.10263019149
"Hazard_reduction_fish_perc",0.172213889157231,-1369.57911964762
"maintenance_check_dams",0.244254136834928,-1942.49933808328
"maintenance_buffer_strips",3.02484641907703,-24055.9371603671
"scheme2_area_no_dredging_ha",1.44065564614561,-11457.2169597892
"dredging_bump_scheme2_area_perc",0.270702383229978,-2152.83641479191
"scheme2_time_until_dredging_benefits_gone_baseline",0.0680498761700018,-541.185672962472
"check_dams_added_scheme2_area_benefit_time",0.397523513360503,-3161.4169224785
"scheme2_vegetable_yield_t_ha",0.440001767550617,-3499.23711957507
"scheme2_vegetable_profit_USD_t",0.46688871798848,-3713.06311288434
"scheme2_rice_yield_t_ha",0.169810024630182,-1350.46171466467
"scheme2_rice_profit_USD_t",0.573579058855476,-4561.54788861644
"buffer_vegetable_area_ha",1.08582820189831,8635.35246850326
"buffer_fruit_area_ha",1.26818238917538,10085.5751450666
"buffer_rainfed_crop_area_ha",0.341720521459962,2717.6280219731
"buffer_vegetable_yield_t_ha",2.13753588237536,16999.3519473102
"buffer_fruit_yield_t_ha",2.12359342364191,16888.4706446968
"buffer_rainfed_crop_yield_t_ha",1.08871315515843,8658.2958661906
"buffer_vegetable_profit_USD_t",2.60062776987619,20682.2197038144
"buffer_fruit_profit_USD_t",1.52525891948874,12130.0481535543
"buffer_rainfed_crop_profit_USD_t",1.09018905176848,8670.03334677234
"proportion_irrigation_scheme_rice",0.608860790157025,-4842.13572466201
"irrigation_scheme_rice_yield_t_ha",0.264889466193195,2106.60756625489
"irrigation_scheme_rice_profit_USD_t",0.306571878127872,2438.09860522773
"irrigation_scheme_vegetable_yield_t_ha",2.57608868861266,20487.0657967843
"irrigation_scheme_vegetable_profit_USD_t",3.87862335222903,30845.8370122552
"baseline_time_until_irrig_area_declines",0.726437374559921,-5777.19639686291
"dredging_delay_of_irrig_area_decline",0.146244697743109,1163.05186166065
"check_dam_delay_of_irrig_area_decline",0.20770815699128,1651.85721191177
"buffer_strip_delay_of_irrig_area_decline",1.70339517420402,13546.7265417157
"baseline_start_losses_to_half_irrig_area_lost",1.8744593431034,-14907.16218945
"dredging_delay_of_irrig_area_halved",0.04552463641703,362.047403792088
"check_dam_delay_of_irrig_area_halved",0.254376388077162,-2022.99937215739
"buffer_strip_delay_of_irrig_area_halved",0.383839354979832,3052.58982566398
"current_risk_of_pipe_blockage",0.0460346646960477,-366.103546329666
"baseline_time_until_pipes_blocked_every_second_year",0.0991809268611679,-788.764060559222
"dredging_delay_of_pipes_blocked_every_second_year",0.312885901296987,-2488.3126404354
"check_dam_delay_of_pipes_blocked_every_second_year",0.117613809083925,935.356711888075
"buffer_strip_delay_of_pipes_blocked_every_second_year",0.268839055391586,2138.01777900703
"current_chance_of_blocked_pipe_cleared",0.204289419422042,-1624.6687452132
"baseline_time_until_chance_cleared_50percent",0.209158889496751,1663.39456791372
"dredging_delay_of_time_until_chance_cleared_50percent",0.218914330725441,1740.97744276283
"check_dam_delay_of_time_until_chance_cleared_50percent",0.194603655668975,1547.63999997692
"buffer_strip_delay_of_time_until_chance_cleared_50percent",0.0697669074675289,-554.840844588771
"baseline_time_until_irrig_area2_declines",0.12803809067486,-1018.25872678443
"dredging_delay_of_irrig_area2_decline",0.0369970499786075,-294.229387578595
"check_dam_delay_of_irrig_area2_decline",0.0276394747359823,219.810653261934
"baseline_start_losses_to_half_irrig_area2_lost",0.244240610221664,-1942.39176390807
"dredging_delay_of_irrig_area2_halved",0.215160278655076,1711.12229371066
"check_dam_delay_of_irrig_area2_halved",0.117500946180364,-934.459138081131
"time_to_start_fish_decline_baseline",0.322167904483423,2562.13036683864
"dredging_delay_start_fish_decline",0.258277400787923,2054.0232668054
"check_dams_delay_start_fish_decline",0.271193783364831,-2156.74441180296
"buffer_strips_delay_start_fish_decline",0.0203620847986202,-161.93517438784
"time_to_halve_fish_population_baseline",0.053589139673845,426.182621485128
"dredging_delay_in_time_to_halve_fish_population",0.0636574601001501,506.253755661765
"check_dams_delay_in_time_to_halve_fish_population",0.237043249338769,-1885.15273847279
"buffer_strips_delay_in_time_to_halve_fish_population",0.0463115426499654,368.305495697584
