"","VIP","Coefficient"
"NaturHazard",0.319315107027381,-144.073796911873
"discount_rate",0.266899760562709,120.424186181213
"BadMaintenance",0.115587778165833,-52.152778589116
"BadDesign",0.460861688179903,-207.939091530677
"NonCompliance",0.415035567777741,-187.262515262351
"dredge_NonPopInvolv",0.298041581453578,-134.475260745976
"dredge_NonDonorsInvolv",0.142401603421775,64.2510775086962
"check_NonPopInvolv",0.167110166299579,-75.3994898189716
"check_NonInstInvolv",0.122569823805169,55.3030517936495
"check_NonDonorsInvolv",0.484272306232197,-218.501875929594
"buffer_NonPopInvolv",1.77856000481695,-802.479705125898
"buffer_NonInstInvolv",1.08757511553778,-490.709875211014
"buffer_NonDonorsInvolv",0.58688659600733,-264.80106447394
"current_irrig_area",0.877386258694823,395.873439328465
"TLU_no_buffer",0.188366957476241,84.9904754866867
"change_TLU_buffer_perc",0.306434170152707,138.261965769298
"profit_per_TLU",0.0813663996930597,36.7122190176331
"var_CV",0.161264215240125,72.7618182927565
"pipe_blocked_area_lost_perc",3.21146475286715,-1449.00103506392
"dredging_study_cost",0.344703889274704,-155.52912168931
"dredging_supervision_cost",0.0329233919747665,-14.8549128576487
"dredging_admin_cost",0.0505431243159601,-22.8048710121465
"dredging_transport_cost",0.177293745898426,-79.9942833212859
"dredging_communication_cost",0.41337266145651,186.512218072097
"dredging_culvert_feasibility_cost",0.315893413737933,-142.529941537575
"dredging_culvert_supervision_cost",0.080154698695835,36.1655040030595
"check_location_cost",0.144663537428329,65.2716537780816
"check_feasibility_cost",0.512203858124246,-231.104488979103
"check_topobatymetry_cost",0.280919423891814,-126.749806494182
"check_supervision_cost",0.149996924582953,67.6780583635737
"check_training_cost",0.397861915756739,-179.513826900742
"check_communication_cost",0.504563446910833,227.657163659195
"check_tech_devices_cost",0.1892031536252,85.3677641006367
"check_material_cost",0.31403934143947,-141.693390964459
"check_rocks_cost",0.121558313085654,54.8466618929829
"check_transport_cost",0.101784082381797,-45.9246020348137
"buffer_communication_cost",0.139573411466397,62.9750077442552
"buffer_zoning_cost",0.0676153261177111,30.5077854095323
"buffer_adaptation_cost",0.0327776362445018,-14.7891484104968
"buffer_tech_devices_cost",0.196716667999317,-88.7578340353426
"buffer_nursery_cost",0.275694856807584,124.392501122528
"buffer_wells_cost",0.00547453333705187,-2.47008922168551
"buffer_training_cost",0.00473413010973231,2.13602202017166
"current_annual_fish_value_USD",0.0612879879144287,27.6529137820077
"Hazard_reduction_irrigated_area",0.159984360115761,-72.1843523877425
"BadMaint_reduction_irrigated_area",0.313136958001591,-141.286238890208
"BadDesign_reduction_irrigated_area",0.457326184005986,-206.343885105663
"Hazard_reduction_fish_perc",0.394682761645077,-178.079404307652
"maintenance_check_dams",0.136150243610309,-61.4304870509359
"maintenance_buffer_strips",2.49249873601909,-1124.60622373724
"scheme2_area_no_dredging_ha",0.404303582472835,-182.42028313098
"dredging_bump_scheme2_area_perc",0.170955326046927,-77.1344116950158
"scheme2_time_until_dredging_benefits_gone_baseline",0.0562353638081602,-25.3731884469451
"check_dams_added_scheme2_area_benefit_time",0.285046931417815,-128.612122645113
"scheme2_vegetable_yield_t_ha",0.149118080103843,-67.28152698058
"scheme2_vegetable_profit_USD_t",0.0477940040373486,21.5644780962141
"scheme2_rice_yield_t_ha",0.186339230870408,-84.0755727314704
"scheme2_rice_profit_USD_t",0.410822500717315,-185.361594965499
"buffer_vegetable_area_ha",0.901779668987234,406.879655956215
"buffer_fruit_area_ha",1.10977528896279,500.726511464835
"buffer_rainfed_crop_area_ha",0.197746020281956,89.2222739833939
"buffer_vegetable_yield_t_ha",1.7092800271675,771.220835093575
"buffer_fruit_yield_t_ha",1.66745179538895,752.348091406166
"buffer_rainfed_crop_yield_t_ha",1.03831773179691,468.485125597511
"buffer_vegetable_profit_USD_t",2.51428156352194,1134.43455505243
"buffer_fruit_profit_USD_t",1.32004494696873,595.599404533684
"buffer_rainfed_crop_profit_USD_t",0.853123392342637,384.926123644384
"proportion_irrigation_scheme_rice",0.951900667173289,-429.494065217657
"irrigation_scheme_rice_yield_t_ha",0.406083327170652,183.223297365212
"irrigation_scheme_rice_profit_USD_t",0.29157349452719,131.556883814436
"irrigation_scheme_vegetable_yield_t_ha",3.86926406800134,1745.79765649432
"irrigation_scheme_vegetable_profit_USD_t",5.92839325669483,2674.8691411131
"baseline_time_until_irrig_area_declines",0.146185939135293,65.9585558053273
"dredging_delay_of_irrig_area_decline",0.0763489105857514,34.4483464643315
"check_dam_delay_of_irrig_area_decline",0.860703132384686,388.346074355859
"buffer_strip_delay_of_irrig_area_decline",1.82424832973228,823.094108579506
"baseline_start_losses_to_half_irrig_area_lost",1.73775182195924,-784.067203744059
"dredging_delay_of_irrig_area_halved",0.061864656809951,-27.9131046577615
"check_dam_delay_of_irrig_area_halved",0.354234757657806,-159.829414301845
"buffer_strip_delay_of_irrig_area_halved",0.620680234496695,280.048629344751
"current_risk_of_pipe_blockage",0.236275192156416,106.606494027037
"baseline_time_until_pipes_blocked_every_second_year",0.0374856856433373,-16.91340291024
"dredging_delay_of_pipes_blocked_every_second_year",0.293000507474422,-132.200746785606
"check_dam_delay_of_pipes_blocked_every_second_year",0.0775115762809792,34.9729369317543
"buffer_strip_delay_of_pipes_blocked_every_second_year",0.389196011314056,175.60380282341
"current_chance_of_blocked_pipe_cleared",0.484374591918131,-218.5480268533
"baseline_time_until_chance_cleared_50percent",0.424369584800352,191.473989268097
"dredging_delay_of_time_until_chance_cleared_50percent",0.0647313129604927,29.2065293249944
"check_dam_delay_of_time_until_chance_cleared_50percent",0.168734863186827,76.1325470537385
"buffer_strip_delay_of_time_until_chance_cleared_50percent",0.0232953781283273,10.5107885708587
"baseline_time_until_irrig_area2_declines",0.0471035086362736,-21.252929121569
"dredging_delay_of_irrig_area2_decline",0.167009548751412,75.3540915528661
"check_dam_delay_of_irrig_area2_decline",0.0704338474641364,-31.779491830932
"baseline_start_losses_to_half_irrig_area2_lost",0.136199043518292,-61.452505389177
"dredging_delay_of_irrig_area2_halved",0.288837850642634,130.322571397727
"check_dam_delay_of_irrig_area2_halved",0.0983714274218962,-44.3848247214249
"time_to_start_fish_decline_baseline",0.339418636009746,153.144434937054
"dredging_delay_start_fish_decline",0.420931893871233,189.922915817866
"check_dams_delay_start_fish_decline",0.614651044305306,-277.328280998994
"buffer_strips_delay_start_fish_decline",0.206302914032733,93.0831128391643
"time_to_halve_fish_population_baseline",0.143935527943395,64.9431785873559
"dredging_delay_in_time_to_halve_fish_population",0.131986958850771,59.5520283443752
"check_dams_delay_in_time_to_halve_fish_population",0.379812287397587,-171.369901250747
"buffer_strips_delay_in_time_to_halve_fish_population",0.013529616069466,-6.10451279939195
