"","VIP","Coefficient"
"NaturHazard",0.529390925059157,-109.148846338674
"discount_rate",0.0693559405396868,-14.2996801386321
"BadMaintenance",0.700276301491453,-144.381678657534
"BadDesign",0.134470090911651,-27.7247957894692
"NonCompliance",0.284639006348767,58.6863463186166
"dredge_NonPopInvolv",0.274182351360399,-56.530412443448
"dredge_NonDonorsInvolv",0.0917293810071504,18.9125949054989
"check_NonPopInvolv",0.872577799323999,-179.906484279667
"check_NonInstInvolv",0.668603540530952,-137.851447111133
"check_NonDonorsInvolv",0.411278767912704,-84.7966992185344
"buffer_NonPopInvolv",0.242963655426983,50.0937991884144
"buffer_NonInstInvolv",0.23818039296946,49.1075949407399
"buffer_NonDonorsInvolv",0.243937640164053,50.2946135684319
"current_irrig_area",0.853685857581609,176.011378510619
"TLU_no_buffer",0.137568643669152,-28.3636496926844
"change_TLU_buffer_perc",0.0840228845426144,-17.323683651829
"profit_per_TLU",0.189175340272305,-39.003823392214
"var_CV",0.354396097539676,73.0687349600134
"pipe_blocked_area_lost_perc",3.47950240790426,-717.39740082048
"dredging_study_cost",0.000571366073670684,-0.11780320520463
"dredging_supervision_cost",0.173373989497279,35.7459299791488
"dredging_admin_cost",0.235604873425176,-48.57657906254
"dredging_transport_cost",0.0431617049221694,-8.89900086167632
"dredging_communication_cost",0.021365300449782,-4.40505831397142
"dredging_culvert_feasibility_cost",0.13527177922689,-27.8900864104252
"dredging_culvert_supervision_cost",0.123075513545982,25.3754828052306
"check_location_cost",0.18072254701032,37.2610420387523
"check_feasibility_cost",0.202116879979869,-41.6720862242015
"check_topobatymetry_cost",0.262182997302881,-54.0564077142564
"check_supervision_cost",0.128913701461901,26.5791896418368
"check_training_cost",0.417790489471277,-86.1392739816311
"check_communication_cost",0.125379899134492,25.8505967835771
"check_tech_devices_cost",0.114683629664825,23.6452596357761
"check_material_cost",0.319177635265347,-65.8074572442393
"check_rocks_cost",0.310996422300846,64.120669816543
"check_transport_cost",0.194957672343272,40.1960139735366
"buffer_communication_cost",0.0570289570091095,11.7581253678396
