"","0%","5%","10%","25%","50%","75%","90%","95%","100%","mean","chance_loss","chance_zero","chance_gain"
"y.NPV_dredge_check_buff","-322189"," -66917","-3.6e+04"," 1.5e+04","  78353","167792","273759","341169","876918"," 101106","0.1995","0","0.8005"
"y.NPV_dredge_check_nbuff","-102385"," -17195","-1.8e+03"," 2.6e+04","  64398","115464","171480","210369","639527","  76551","0.1071","0","0.8929"
"y.NPV_dredge_ncheck_buff","-299030"," -47689","-2.5e+04"," 1.4e+04","  71476","172802","278939","347369","921120"," 103482","0.1909","0","0.8091"
"y.NPV_dredge_ncheck_nbuff","-225043"," -16167","-6.7e+03"," 1.6e+04","  42295"," 71423","101953","122880","393982","  46205","0.1414","0","0.8586"
"y.NPV_ndredge_check_buff","-319665"," -66209","-4.4e+04"," 1.1e+03","  65332","157268","262485","331763","888267","  90142","0.2458","0","0.7542"
"y.NPV_ndredge_check_nbuff","-108087"," -33155","-2.4e+04","-9.0e+02","  40708"," 82338","126800","156828","424650","  46701","0.2564","0","0.7436"
"y.NPV_ndredge_ncheck_buff","-305002"," -58696","-4.2e+04","-2.0e+04","  47630","163788","268197","333040","886174","  83403","0.3662","0","0.6338"
"y.cashflow_NPV_dredge_check_buff1","-391575","-298833","-2.8e+05","-2.5e+05","-206430","-88775","-62217","-53407"," 11191","-182118","0.9998","0","0.0002"
"y.cashflow_NPV_dredge_check_buff2"," -33262","  -7218","-3.0e+03"," 1.6e+03","   6561"," 12258"," 18131"," 22122"," 57676","   7014","0.1769","0","0.8231"
"y.cashflow_NPV_dredge_check_buff3"," -57835","  -5538","-1.5e+03"," 2.7e+03","   7702"," 13457"," 19668"," 23939"," 59425","   8328","0.1329","0","0.8671"
"y.cashflow_NPV_dredge_check_buff4"," -35346","  -4029","-6.1e+02"," 3.4e+03","   8772"," 14423"," 20943"," 24890"," 57547","   9336","0.1129","0","0.8871"
"y.cashflow_NPV_dredge_check_buff5"," -27130","  -3168"," 2.0e+02"," 4.2e+03","   9619"," 15500"," 21919"," 26449"," 71046","  10302","0.0954","0","0.9046"
"y.cashflow_NPV_dredge_check_buff6"," -35674","  -1778"," 1.0e+03"," 4.7e+03","  10355"," 16500"," 22618"," 26967"," 70216","  11083","0.0772","0","0.9228"
"y.cashflow_NPV_dredge_check_buff7"," -21158","   -673"," 1.6e+03"," 5.4e+03","  11246"," 17486"," 24129"," 28613"," 65636","  12084","0.0615","0","0.9385"
"y.cashflow_NPV_dredge_check_buff8"," -23942","     86"," 2.1e+03"," 6.1e+03","  11847"," 18161"," 24760"," 29259"," 96249","  12736","0.0486","0","0.9514"
"y.cashflow_NPV_dredge_check_buff9"," -20028","    750"," 2.7e+03"," 6.7e+03","  12682"," 19078"," 26059"," 30786"," 71149","  13624","0.0381","0","0.9619"
"y.cashflow_NPV_dredge_check_buff10"," -15768","   1318"," 3.2e+03"," 7.3e+03","  13307"," 19986"," 27103"," 31773"," 71437","  14411","0.0296","0","0.9704"
"y.cashflow_NPV_dredge_check_buff11"," -13749","   1665"," 3.3e+03"," 7.4e+03","  13686"," 20505"," 27718"," 32562"," 84366","  14811","0.0232","0","0.9768"
"y.cashflow_NPV_dredge_check_buff12"," -12883","   1821"," 3.7e+03"," 7.8e+03","  14319"," 21365"," 28675"," 33398"," 80413","  15413","0.0188","0","0.9812"
