"","5%","50%","95%","enbPa","elPa","elSq","eol","optimalChoice"
"NPV_dredge_check_buff"," -66917","  78353","341169"," 101106","9.4e+03","1.1e+05"," 9442.6","PA"
"NPV_dredge_check_nbuff"," -17195","  64398","210369","  76551","2.1e+03","7.9e+04"," 2114.9","PA"
"NPV_dredge_ncheck_buff"," -47689","  71476","347369"," 103482","7.0e+03","1.1e+05"," 6995.9","PA"
"NPV_dredge_ncheck_nbuff"," -16167","  42295","122880","  46205","2.2e+03","4.8e+04"," 2204.2","PA"
"NPV_ndredge_check_buff"," -66209","  65332","331763","  90142","1.1e+04","1.0e+05","10972.6","PA"
"NPV_ndredge_check_nbuff"," -33155","  40708","156828","  46701","5.7e+03","5.2e+04"," 5693.5","PA"
"NPV_ndredge_ncheck_buff"," -58696","  47630","333040","  83403","1.3e+04","9.6e+04","12580.8","PA"
"cashflow_NPV_dredge_check_buff1","-298833","-206430","-53407","-182118","1.8e+05","1.1e+00","    1.1","SQ"
"cashflow_NPV_dredge_check_buff2","  -7218","   6561"," 22122","   7014","9.3e+02","7.9e+03","  926.1","PA"
"cashflow_NPV_dredge_check_buff3","  -5538","   7702"," 23939","   8328","7.0e+02","9.0e+03","  701.9","PA"
"cashflow_NPV_dredge_check_buff4","  -4029","   8772"," 24890","   9336","5.6e+02","9.9e+03","  555.9","PA"
"cashflow_NPV_dredge_check_buff5","  -3168","   9619"," 26449","  10302","4.3e+02","1.1e+04","  425.2","PA"
"cashflow_NPV_dredge_check_buff6","  -1778","  10355"," 26967","  11083","3.1e+02","1.1e+04","  312.8","PA"
"cashflow_NPV_dredge_check_buff7","   -673","  11246"," 28613","  12084","2.4e+02","1.2e+04","  237.9","PA"
"cashflow_NPV_dredge_check_buff8","     86","  11847"," 29259","  12736","1.6e+02","1.3e+04","  163.6","PA"
"cashflow_NPV_dredge_check_buff9","    750","  12682"," 30786","  13624","1.1e+02","1.4e+04","  112.0","PA"
"cashflow_NPV_dredge_check_buff10","   1318","  13307"," 31773","  14411","7.9e+01","1.4e+04","   78.9","PA"
"cashflow_NPV_dredge_check_buff11","   1665","  13686"," 32562","  14811","5.6e+01","1.5e+04","   56.2","PA"
"cashflow_NPV_dredge_check_buff12","   1821","  14319"," 33398","  15413","3.8e+01","1.5e+04","   38.5","PA"
"cashflow_NPV_dredge_check_buff13","   2432","  14778"," 34285","  15955","2.2e+01","1.6e+04","   21.8","PA"
"cashflow_NPV_dredge_check_buff14","   2542","  15187"," 35088","  16325","1.9e+01","1.6e+04","   19.0","PA"
"cashflow_NPV_dredge_check_buff15","   2673","  15555"," 35773","  16725","1.8e+01","1.7e+04","   17.9","PA"
"cashflow_NPV_dredge_check_buff16","   2782","  16035"," 35755","  17114","1.5e+01","1.7e+04","   14.9","PA"
"cashflow_NPV_dredge_check_buff17","   2991","  16299"," 36052","  17257","1.1e+01","1.7e+04","   11.1","PA"
"cashflow_NPV_dredge_check_buff18","   2925","  16265"," 36402","  17393","5.4e+00","1.7e+04","    5.4","PA"
"cashflow_NPV_dredge_check_buff19","   3001","  16442"," 36904","  17503","4.3e+00","1.8e+04","    4.3","PA"
"cashflow_NPV_dredge_check_buff20","   2957","  16748"," 36262","  17606","2.9e+00","1.8e+04","    2.9","PA"
"cashflow_NPV_dredge_check_buff21","   2946","  16674"," 36691","  17654","3.4e+00","1.8e+04","    3.4","PA"
"cashflow_NPV_dredge_check_buff22","   2895","  16733"," 36637","  17616","2.9e+00","1.8e+04","    2.9","PA"
"cashflow_NPV_dredge_check_buff23","   2808","  16810"," 36644","  17554","2.8e+00","1.8e+04","    2.8","PA"
"cashflow_NPV_dredge_check_buff24","   2778","  16739"," 36088","  17477","3.0e+00","1.7e+04","    3.0","PA"
"cashflow_NPV_dredge_check_buff25","   2606","  16758"," 35874","  17369","2.8e+00","1.7e+04","    2.8","PA"
"cashflow_NPV_dredge_check_buff26","   2445","  16665"," 35916","  17282","1.7e+00","1.7e+04","    1.7","PA"
"cashflow_NPV_dredge_check_buff27","   2309","  16712"," 35945","  17268","2.0e+00","1.7e+04","    2.0","PA"
"cashflow_NPV_dredge_check_buff28","   2275","  16381"," 35578","  17010","1.9e+00","1.7e+04","    1.9","PA"
"cashflow_NPV_dredge_check_buff29","   2058","  16531"," 35353","  16877","2.3e+00","1.7e+04","    2.3","PA"
"cashflow_NPV_dredge_check_buff30","   1978","  16564"," 34749","  16771","1.8e+00","1.7e+04","    1.8","PA"
"cashflow_NPV_dredge_check_nbuff1"," -70324"," -56554","-25826"," -52259","5.2e+04","1.2e+01","   12.2","SQ"
"cashflow_NPV_dredge_check_nbuff2"," -10168","   2117"," 15448","   2392","1.6e+03","4.0e+03"," 1608.7","PA"
"cashflow_NPV_dredge_check_nbuff3","  -8704","   2964"," 16537","   3428","1.3e+03","4.7e+03"," 1314.4","PA"
"cashflow_NPV_dredge_check_nbuff4","  -7282","   3592"," 17534","   4325","1.0e+03","5.3e+03"," 1023.0","PA"
"cashflow_NPV_dredge_check_nbuff5","  -6168","   4012"," 18233","   4911","8.3e+02","5.7e+03","  830.8","PA"
"cashflow_NPV_dredge_check_nbuff6","  -5310","   4446"," 19093","   5436","7.2e+02","6.2e+03","  722.4","PA"
"cashflow_NPV_dredge_check_nbuff7","  -4035","   5012"," 19657","   6180","5.1e+02","6.7e+03","  513.2","PA"
"cashflow_NPV_dredge_check_nbuff8","  -2981","   5313"," 20152","   6622","4.0e+02","7.0e+03","  400.1","PA"
"cashflow_NPV_dredge_check_nbuff9","  -1751","   5573"," 20961","   7116","2.9e+02","7.4e+03","  290.6","PA"
"cashflow_NPV_dredge_check_nbuff10","  -1107","   6018"," 20515","   7401","2.2e+02","7.6e+03","  219.5","PA"
"cashflow_NPV_dredge_check_nbuff11","   -264","   6138"," 20820","   7573","1.5e+02","7.7e+03","  152.0","PA"
"cashflow_NPV_dredge_check_nbuff12","    -14","   6280"," 20414","   7706","1.0e+02","7.8e+03","   99.8","PA"
"cashflow_NPV_dredge_check_nbuff13","    286","   6300"," 19781","   7703","7.7e+01","7.8e+03","   76.7","PA"
"cashflow_NPV_dredge_check_nbuff14","    493","   6507"," 19222","   7794","5.2e+01","7.8e+03","   52.3","PA"
"cashflow_NPV_dredge_check_nbuff15","    672","   6621"," 19638","   7944","4.2e+01","8.0e+03","   41.6","PA"
"cashflow_NPV_dredge_check_nbuff16","    795","   6821"," 19188","   8028","3.1e+01","8.1e+03","   30.9","PA"
"cashflow_NPV_dredge_check_nbuff17","    904","   6955"," 18916","   8063","1.8e+01","8.1e+03","   18.1","PA"
"cashflow_NPV_dredge_check_nbuff18","    986","   6958"," 18694","   8060","1.5e+01","8.1e+03","   15.1","PA"
"cashflow_NPV_dredge_check_nbuff19","   1133","   6962"," 18690","   8026","1.3e+01","8.0e+03","   12.7","PA"
"cashflow_NPV_dredge_check_nbuff20","   1141","   6971"," 18022","   7938","1.2e+01","8.0e+03","   12.4","PA"
"cashflow_NPV_dredge_check_nbuff21","   1136","   6901"," 17417","   7840","8.7e+00","7.8e+03","    8.7","PA"
"cashflow_NPV_dredge_check_nbuff22","   1140","   6806"," 17002","   7683","7.5e+00","7.7e+03","    7.5","PA"
"cashflow_NPV_dredge_check_nbuff23","   1126","   6700"," 16602","   7492","6.8e+00","7.5e+03","    6.8","PA"
"cashflow_NPV_dredge_check_nbuff24","   1079","   6567"," 16173","   7319","7.0e+00","7.3e+03","    7.0","PA"
"cashflow_NPV_dredge_check_nbuff25","   1033","   6345"," 15399","   7054","7.0e+00","7.1e+03","    7.0","PA"
"cashflow_NPV_dredge_check_nbuff26","    907","   6142"," 15143","   6833","5.9e+00","6.8e+03","    5.9","PA"
"cashflow_NPV_dredge_check_nbuff27","    865","   6030"," 14777","   6658","5.4e+00","6.7e+03","    5.4","PA"
"cashflow_NPV_dredge_check_nbuff28","    825","   5746"," 13994","   6359","4.5e+00","6.4e+03","    4.5","PA"
"cashflow_NPV_dredge_check_nbuff29","    732","   5512"," 13600","   6140","4.2e+00","6.1e+03","    4.2","PA"
"cashflow_NPV_dredge_check_nbuff30","    680","   5315"," 13059","   5863","5.8e+00","5.9e+03","    5.8","PA"
"cashflow_NPV_dredge_ncheck_buff1","-257442","-168821","-16073","-143178","1.4e+05","2.0e+01","   19.6","SQ"
"cashflow_NPV_dredge_ncheck_buff2","  -6909","   6712"," 22042","   7090","8.9e+02","8.0e+03","  887.6","PA"
"cashflow_NPV_dredge_ncheck_buff3","  -6322","   7568"," 23411","   7990","8.2e+02","8.8e+03","  815.0","PA"
"cashflow_NPV_dredge_ncheck_buff4","  -4992","   8370"," 24792","   8866","6.4e+02","9.5e+03","  642.8","PA"
"cashflow_NPV_dredge_ncheck_buff5","  -3879","   9155"," 26137","   9756","5.2e+02","1.0e+04","  516.6","PA"
"cashflow_NPV_dredge_ncheck_buff6","  -3533","   9698"," 26680","  10143","4.6e+02","1.1e+04","  460.0","PA"
"cashflow_NPV_dredge_ncheck_buff7","  -2207","  10342"," 28247","  11009","3.6e+02","1.1e+04","  357.2","PA"
"cashflow_NPV_dredge_ncheck_buff8","  -1423","  10960"," 28239","  11435","2.8e+02","1.2e+04","  276.4","PA"
"cashflow_NPV_dredge_ncheck_buff9","   -726","  11401"," 29360","  12094","2.1e+02","1.2e+04","  211.8","PA"
"cashflow_NPV_dredge_ncheck_buff10","   -320","  11948"," 30687","  12721","1.6e+02","1.3e+04","  163.9","PA"
"cashflow_NPV_dredge_ncheck_buff11","   -119","  12360"," 31519","  13075","1.2e+02","1.3e+04","  123.4","PA"
"cashflow_NPV_dredge_ncheck_buff12","     56","  12862"," 32074","  13590","9.2e+01","1.4e+04","   92.5","PA"
"cashflow_NPV_dredge_ncheck_buff13","    173","  13200"," 32751","  13889","6.3e+01","1.4e+04","   62.8","PA"
"cashflow_NPV_dredge_ncheck_buff14","    260","  13423"," 32928","  14073","4.9e+01","1.4e+04","   49.5","PA"
"cashflow_NPV_dredge_ncheck_buff15","    318","  13729"," 32980","  14310","4.1e+01","1.4e+04","   41.0","PA"
"cashflow_NPV_dredge_ncheck_buff16","    336","  13933"," 33153","  14472","3.5e+01","1.5e+04","   34.9","PA"
"cashflow_NPV_dredge_ncheck_buff17","    319","  14202"," 32880","  14490","2.8e+01","1.5e+04","   28.2","PA"
"cashflow_NPV_dredge_ncheck_buff18","    331","  14372"," 33111","  14645","2.0e+01","1.5e+04","   19.8","PA"
"cashflow_NPV_dredge_ncheck_buff19","    397","  14567"," 33083","  14657","1.7e+01","1.5e+04","   16.7","PA"
"cashflow_NPV_dredge_ncheck_buff20","    328","  14690"," 33200","  14682","1.7e+01","1.5e+04","   16.7","PA"
"cashflow_NPV_dredge_ncheck_buff21","    386","  14850"," 33086","  14726","1.3e+01","1.5e+04","   13.3","PA"
"cashflow_NPV_dredge_ncheck_buff22","    394","  14983"," 32849","  14684","1.1e+01","1.5e+04","   11.5","PA"
"cashflow_NPV_dredge_ncheck_buff23","    316","  14987"," 32810","  14668","1.2e+01","1.5e+04","   12.1","PA"
"cashflow_NPV_dredge_ncheck_buff24","    335","  15144"," 32736","  14679","8.7e+00","1.5e+04","    8.7","PA"
"cashflow_NPV_dredge_ncheck_buff25","    275","  15275"," 32746","  14645","1.0e+01","1.5e+04","   10.5","PA"
"cashflow_NPV_dredge_ncheck_buff26","    292","  15135"," 32549","  14533","9.6e+00","1.5e+04","    9.6","PA"
"cashflow_NPV_dredge_ncheck_buff27","    269","  15301"," 32299","  14536","8.6e+00","1.5e+04","    8.6","PA"
